,Final_Flow,Final_Depth_in,Final_Velocity
2010-04-28 00:00:00,0.265,3.811,1.669
2010-04-28 00:15:00,,,
2010-04-28 00:30:00,0.276,3.786,
2010-04-28 00:45:00,,,
2010-04-28 01:00:00,0.264,3.735,
2010-04-28 01:15:00,0.273,,
2010-04-28 01:30:00,0.262,,
2010-04-28 01:45:00,0.254,,
2010-04-28 02:00:00,0.25,,
2010-04-28 02:15:00,0.26,3.709,
2010-04-28 02:30:00,0.257,,
2010-04-28 02:45:00,,,
2010-04-28 03:00:00,,,
2010-04-28 03:15:00,,,
2010-04-28 03:30:00,,,
2010-04-28 03:45:00,,3.686,
2010-04-28 04:00:00,,3.679,
2010-04-28 04:15:00,,3.69,
2010-04-28 04:30:00,0.25,3.642,
2010-04-28 04:45:00,0.265,3.749,
2010-04-28 05:00:00,0.247,,
2010-04-28 05:15:00,0.247,,
2010-04-28 05:30:00,0.264,,
2010-04-28 05:45:00,0.275,,
2010-04-28 06:00:00,0.261,,1.638
2010-04-28 06:15:00,0.281,,1.688
2010-04-28 06:30:00,0.333,,1.883
2010-04-28 06:45:00,0.352,,1.9
2010-04-28 07:00:00,0.433,4.837,1.96
2010-04-28 07:15:00,0.414,4.58,2.016
2010-04-28 07:30:00,0.402,4.558,
2010-04-28 07:45:00,0.373,4.466,1.884
2010-04-28 08:00:00,0.358,4.286,1.913
2010-04-28 08:15:00,0.336,,1.778
2010-04-28 08:30:00,0.338,4.233,1.839
2010-04-28 08:45:00,0.319,4.092,1.82
2010-04-28 09:00:00,0.297,4.018,1.739
2010-04-28 09:15:00,0.372,4.468,1.876
2010-04-28 09:30:00,,,
2010-04-28 09:45:00,0.3443,4.2823,1.8337
2010-04-28 10:00:00,0.3304,4.1894,1.8126
2010-04-28 10:15:00,0.3166,4.0966,1.7914
2010-04-28 10:30:00,0.3027,4.0037,1.7703
2010-04-28 10:45:00,0.2889,3.9109,1.7491
2010-04-28 11:00:00,0.275,3.818,1.728
2010-04-28 11:15:00,0.2795,3.839,1.742
2010-04-28 11:30:00,0.284,3.86,1.756
2010-04-28 11:45:00,0.2885,3.881,1.77
2010-04-28 12:00:00,0.293,3.902,1.784
2010-04-28 12:15:00,0.2852,3.867,1.758
2010-04-28 12:30:00,0.2773,3.832,1.732
2010-04-28 12:45:00,0.2695,3.797,1.706
2010-04-28 13:00:00,0.2617,3.762,1.68
2010-04-28 13:15:00,0.2858,3.8558,1.7723
2010-04-28 13:30:00,0.343,4.2149,1.8772
2010-04-28 13:45:00,0.2925,3.8361,1.8268
2010-04-28 14:00:00,0.2696,3.8431,1.6797
2010-04-28 14:15:00,,3.8322,1.6524
2010-04-28 14:30:00,,3.8374,1.8014
2010-04-28 14:45:00,,3.7835,1.8292
2010-04-28 15:00:00,,3.79,1.7114
2010-04-28 15:15:00,,3.7858,1.715
2010-04-28 15:30:00,,3.7724,1.7648
2010-04-28 15:45:00,,3.924,1.8179
2010-04-28 16:00:00,,3.7916,1.749
2010-04-28 16:15:00,,3.9233,1.7078
2010-04-28 16:30:00,0.2904,3.9199,1.7593
2010-04-28 16:45:00,0.2826,3.82,1.7756
2010-04-28 17:00:00,0.2675,3.8646,1.6536
2010-04-28 17:15:00,0.2826,3.9061,1.721
2010-04-28 17:30:00,0.3028,3.9603,1.8083
2010-04-28 17:45:00,0.3035,3.9572,1.8145
2010-04-28 18:00:00,0.273,3.8955,1.6684
2010-04-28 18:15:00,0.3001,3.9072,1.8266
2010-04-28 18:30:00,0.2943,3.959,1.7586
2010-04-28 18:45:00,0.4045,4.5273,2.0043
2010-04-28 19:00:00,0.3097,4.1396,1.7386
2010-04-28 19:15:00,0.3046,4.0475,1.7645
2010-04-28 19:30:00,0.3412,4.1771,1.8913
2010-04-28 19:45:00,0.3177,4.1308,1.7884
2010-04-28 20:00:00,0.3131,4.1085,1.7758
2010-04-28 20:15:00,0.3315,4.1374,1.8619
2010-04-28 20:30:00,0.3246,4.0564,1.8746
2010-04-28 20:45:00,0.2828,3.9531,1.6934
2010-04-28 21:00:00,0.2998,3.9754,1.7813
2010-04-28 21:15:00,0.302,4.008,1.7735
2010-04-28 21:30:00,0.3051,4.0969,1.7378
2010-04-28 21:45:00,0.3031,4.0357,1.763
2010-04-28 22:00:00,0.3317,,1.8004
2010-04-28 22:15:00,0.2933,,1.7381
2010-04-28 22:30:00,0.3197,,1.8037
2010-04-28 22:45:00,0.3305,,1.8208
2010-04-28 23:00:00,0.2868,,1.7621
2010-04-28 23:15:00,0.2738,,1.7476
2010-04-28 23:30:00,0.285,,1.7545
2010-04-28 23:45:00,0.2728,,1.718
